trend_id,date,platform,keyword,post_text,hashtags
31,2025-09-02 7:00,googlenews,다이어트 유산균,"바이오니아 자회사 에이스바이옴, 2025 ‘올해의 브랜드 대상’ 국내·중국 석권 - 한국경제
https://news.google.com/rss/articles/CBMiWkFVX3lxTE95UXhCY2RkcWZ6clp4bTlxZFh4RHhkRnloSjNWUnBmakVYTW9uangtdkZGb2Y1SWoxRlBQLUFrQWxxUmJaOEtfSGFPeVFMSzkxX2tzdjZLeHM1QdIBVEFVX3lxTE5rb0NXWEd1dXBLeWViOUdPekJjM2dkR3NHYzhaWl9CWXRFTDFHWTBZRFYwU3JLTVI5RUtNY1FKMmtrRlp5dGF5VlF2RHR0RE8xWTluZg?oc=5",
32,2025-09-02 7:00,googlenews,다이어트 유산균,"에이스바이옴 ‘비에날씬’, 2025 ‘올해의 브랜드 대상’ 중국 다이어트 유산균 부문 대상 수상 - 하이뉴스
https://news.google.com/rss/articles/CBMidkFVX3lxTE9iX1lFS3BjaFdOYjBTUUlnMGlxbHlZUmZvd3dzc29HcHd3MjJEZzQ3QTFlTVFTVHlkOVpTZTZTYmx0ZzhBUk43S0stSXBjQ0piN1BiRFRRMUVCbVhQT1ZkaTdyMzNCR21TWWg2N1RCdkVsVzhrWUE?oc=5",
33,2025-09-02 7:00,googlenews,다이어트 유산균,"바이오니아 子 에이스바이옴, '올해의 브랜드 대상' 국내·중국 동시 수상…'글로벌 경쟁력' 입증 - 프라임경제
https://news.google.com/rss/articles/CBMibEFVX3lxTFBlaFZpNDV3LTU1bHdlUmJLNmI3MkRaMTkwTi1vN0dpcUgtMUMyUjludURRQXc1WWtjekpnX29sZnQtRHVQaHAtdEYxdkd3dEVWMjl6RmlGMWZRVUhETEFRR0JYV0pNNi1lYnZzSA?oc=5",
34,2025-09-02 7:00,googlenews,다이어트 유산균,"바이오니아 자회사 에이스바이옴, ′올해의 브랜드 대상′ 2관왕 - 메디컬투데이
https://news.google.com/rss/articles/CBMiXEFVX3lxTE95NllhbGRDVDhwbjFTbm5MamRkYWh2Y3MxbUxOZW9CUWpHUmdoZkdjdlNCanR1MTFlcWJqTjZKZXF1cGpEemQxRDZyMEtzdmJUNFF5R0FkZXVKY1Et0gFsQVVfeXFMT0tqb0VpVEU3SGdmZDdVYWdFREZ0eUFUbmhabWFuZ1h1OEw4cVJEWWxBMU1LT3dXT2gzY3lTNDRncWc0dzFyYjU4VFM4a3FUc3pTVnRsOWNFQ3p2Ul9DTGIxemdveXZrZmgybEl3?oc=5",
35,2025-09-02 7:00,googlenews,다이어트 유산균,"에이스바이옴, '비에날씬'으로 韓·中 올해의 브랜드 대상 석권 - 머니투데이
https://news.google.com/rss/articles/CBMiZkFVX3lxTE5falZoWFpibF9BZ0NaYklxcXcyMmxLeTgxNTFzVTBkWGlBWVRIeWI3UnhraXU4cDNuNTE3cHRibVRiaG9BbXlpMjZLRzB2OFNJOElBLXhWSnVpdVE5NE5jS3pfbEd6QdIBbkFVX3lxTFB2UDBEdHkxSzNRaWN2TVpzTnFhRVF3VWkxNlhTUE5RMXJQRm5mRzdEdkZ4MGFjWEpnU3Vra0FEMG00THRFN2FHVFFyT0FWS1VDTjVvVU45MVd4cllxNGdsU2ZEQ3NKdzRLcXVsbDhR?oc=5",
36,2025-09-02 7:00,googlenews,다이어트 유산균,"“아침마다 ‘이것’ 마셨다” 10kg 감량 맹승지… 다이어트 성공 비결은? - 헬스조선
https://news.google.com/rss/articles/CBMidkFVX3lxTFBRMVQ4b0RGTVIxSnRvSHpEQWxoWk1Ua19PNnBad1RBWlRzVUpWWWxzOHBJd1p6V3NjVlhDdDhnUVZkb3VGSVJJNTNaRVpKMEtzb3BLTmhEZkV2UGlGZ2xBYnZkY3pyYXRnLXIxWVJ6c0tnV0RieEE?oc=5",
37,2025-09-02 7:00,googlenews,다이어트 유산균,"“같은 사람 맞아?” 33kg 감량 김다예, 확 달라진 비주얼… 어떻게 뺐나 보니 - 헬스조선
https://news.google.com/rss/articles/CBMidkFVX3lxTE1UaF9vemd2UmYxbzZVajlEem53Ymt0M2t1WW0yYmtaTTVORHk5bVd3SGRRbk1QUEJSMlRXSHNTTkI1bDZWMWVfdHNwYW9ocWRBWHd4bGxLOWphVG5zVUd5Y2x1ZTgwd3dqV1FQTmlaLXNrY1RlZUE?oc=5",
38,2025-08-30 7:00,googlenews,다이어트 유산균,"편의점이 작정했다…추석 선물세트로 나온 7500만 원짜리 '이것’ - 위키트리
https://news.google.com/rss/articles/CBMiVkFVX3lxTE1qV1FYbkdlYzhUdjdacWI1ZjA4cVdVbEN2bUZGTE80UEJxWTF5cldGOFRFSjFpOHowYm9QSTBrY1RUMnB4NkE4TVVFcVJTcmx1YXVjTVlR?oc=5",
39,2025-09-28 5:01,googlenews,다이어트,"“주말도 빼놓지 않아” 다이어트 유지어터 박세미… 열중한 ‘두 가지’ 운동은? - 헬스조선
https://news.google.com/rss/articles/CBMidkFVX3lxTE5Dcy1RMWI3eFpMaVg0dFpLZUw1Z1ltcldKVHc1UWhELWtUd2Q4S1RTSm9GbGdRdEZrTjRIRGJhYXJsWkdPNm9KNjhhMV9qNHY0Q2tsNGtBZTFQS0tCVVNvUl93ZFo1bjJWcUxtc0lCdmVXcVJIVmc?oc=5",
40,2025-09-27 7:02,googlenews,다이어트,"다이어트·운동·금연 성공? 의지 아닌 ‘이것’이 좌우한다 - 헬스조선
https://news.google.com/rss/articles/CBMidkFVX3lxTE5YNTNSQlZ5b2V6eVVYZ0swUzB2QS1POHhXUU53dE5nS0VjTE1ITFM3VVpTX2hGclBlMWduVXMycWV3Z0NpTk4zcVl0cEwxenJYa1FyZld4T1V2Ny0xRjE3ZnR0c0dyQWZmNXpMZVZWU2h6cUNtRWc?oc=5",
