Date,콜라겐,아르기닌,단백질보충제,단백질쉐이크,알파cd
2025-04-17,12.76293,19.33,6.3975,18.82131,13.13413
2025-04-18,12.44672,17.49232,5.81091,15.9296,30.51189
2025-04-19,12.38256,15.33385,5.57719,14.85724,6.73662
2025-04-20,15.91127,14.6831,6.10879,17.05696,15.63631
2025-04-21,13.487,20.4436,6.60373,21.95591,10.72819
2025-04-22,15.0818,21.48847,6.7962,20.95687,20.95229
2025-04-23,12.61628,21.75885,6.52124,19.52247,15.59506
2025-04-24,12.55671,21.01186,6.20503,17.8681,13.8582
2025-04-25,10.36616,19.18335,5.38013,15.33385,65.17116
2025-04-26,9.43128,14.15608,4.59648,13.49617,8.43682
2025-04-27,11.38811,14.77017,5.32972,14.21108,20.19614
2025-04-28,13.53283,17.44191,6.45708,17.90935,31.71715
2025-04-29,16.43371,16.97905,6.38375,18.10182,33.69231
2025-04-30,12.33215,17.37317,6.37001,16.45204,8.84469
2025-05-01,12.44672,15.73255,5.57719,15.76463,14.45854
2025-05-02,11.51642,14.55936,4.89436,12.5842,35.20461
2025-05-03,10.07286,13.06081,4.3261,11.11314,62.74689
2025-05-04,10.05453,12.19009,4.69272,10.85193,35.39709
2025-05-05,9.95829,13.33577,5.05018,12.93707,38.10091
2025-05-06,11.64474,14.4448,5.7605,16.22748,20.50318
2025-05-07,13.23495,16.76825,6.56248,19.33916,15.44383
2025-05-08,12.35507,17.55648,6.19128,16.76825,38.54543
2025-05-09,12.06177,16.67659,5.80175,14.9489,11.14522
2025-05-10,11.37894,13.83987,5.10975,12.88208,26.0483
2025-05-11,10.88859,13.96361,5.87965,15.31552,45.74034
2025-05-12,12.44214,17.29068,6.97493,21.11268,47.61468
2025-05-13,13.57408,17.92768,6.68163,19.64621,19.66912
2025-05-14,14.6831,18.78007,6.19128,18.59676,14.36689
2025-05-15,12.13509,19.08253,6.10879,17.58856,19.98075
2025-05-16,9.73832,15.59965,5.20599,14.96265,22.75331
2025-05-17,10.47156,13.3541,4.94936,12.03886,7.65317
2025-05-18,9.68333,14.5227,5.43971,15.65922,15.73255
2025-05-19,10.97566,16.68117,6.88327,21.75885,13.95444
2025-05-20,11.83722,17.44191,7.09408,19.36208,20.52151
2025-05-21,12.52921,17.61605,7.12616,19.50414,7.86398
2025-05-22,12.65294,17.33192,6.425,18.40887,13.89487
2025-05-23,13.17079,16.14499,5.60927,14.61894,73.68589
2025-05-24,11.85096,13.60615,5.43054,12.59795,37.94509
2025-05-25,14.95806,13.32661,6.35626,16.1954,15.40717
2025-05-26,13.56491,18.46386,6.79162,21.38307,39.99816
