순번,기록일시,날짜,검색키워드,출처포털,출처,제목,기사평가,기사평가근거요약,링크
31,2025-09-25 13:58:47,2025-08-27 07:00,다이어트 유산균,구글뉴스,v.daum.net,유기농 레몬이 스틱안에 쏙 … 건강 챙기는 4060 꽉 잡았죠 [MD의 추천] - v.daum.net,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiT0FVX3lxTE10bzRrYndyQUJXaXd2TXUzTEZwb3lmdkxJVmxEdnB5TTVxb19QTVdrX1pPYnlXVGhlU05HVEFyZmlfTDJXemQ4MlhYeTU4NUU?oc=5
32,2025-09-25 13:58:47,2025-08-27 07:00,다이어트 유산균,구글뉴스,식품저널 foodnews,"가짜 백수오, 소비자원 발표는 위법했지만 해당 회사 투자자들이 손해배상 소송서 패소한 이유 - 식품저널 foodnews",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMibkFVX3lxTE1ZQVkzRV93ejRBdkRFRFFycW9NakdoRDZ1emlKbEl4aVlYd3U5T19tcGMtcUxoeEdOcmZzd2I5NlFxaXd0WVJDUlZ3Qnc5Z2lnT1Q4YUU0U1FzYzV2dWI3Um1rN0RrVXUxVzJ1Nm93?oc=5
33,2025-09-25 13:58:51,2025-09-24 23:25,다이어트,구글뉴스,한국경제,전현무도 챙겨 먹더니…난리 난 '애사비 다이어트' 알고보니 [건강!톡] - 한국경제,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1IZGhsUmlWVUl1TGxZclRNOE1BTHd1bHJ0MDJjYzNtcEZNeWpsaWlNbEdCQk56UXhTb1hqWWlnQU5ZNzFNbWE1SlRvVENwTlpUQzRBenM0MzRyZ9IBVEFVX3lxTFBpbWpmVk5oM0FpalZoT05OeWhSUVByalRILWZoaWZvR21RV1Q3THdpQkhhZkppaFhGeS1sNGs4aDRRZ1ZWbEZzelNXbXZHQlJJczlNZw?oc=5
34,2025-09-25 13:58:51,2025-09-24 20:03,다이어트,구글뉴스,헬스조선,"“모든 게 지속 불가능했다”… 애프터스쿨 출신 베카, 힘들었던 ‘K팝 다이어트’ 저격 - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE9aVVJ1TlJMUkpWRk1qc1ROQXo3UC14YlFmODVJUFU4Y3ZKZU9oc1l1T3pWQk03UVFwaXEwUlctUm1ZbUlMRnhFR0h5VGxhczdFaVhPZ1hLb0tEMm5KVkttZ0VaX0F3TFIxQWNhd2Ezb2JLSk45ZWc?oc=5
35,2025-09-25 13:58:51,2025-09-24 01:55,다이어트,구글뉴스,헬스조선,"‘100만 유튜버’ 원지, 살 쏙 빠졌네… ‘이 원칙’ 지켰더니 다이어트 성공 - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE1fXzlIblR2NVhBcG83RnlDVHlZdndiWWpSZEZsMkw5a2o0Y0xTVWtWOWpvSGRwV2RKWW10UmlHcEthVG5vdGhKUjNKb3o1cjhFUlFldDdKS2g4VXM5b0dnbGZwR2Q2TDI1UGJRMnZ1QUlhUEFBb2c?oc=5
36,2025-09-25 13:58:51,2025-09-24 01:12,다이어트,구글뉴스,지디넷코리아,"""모두가 속았다""…사과식초 ‘애사비’, 다이어트에 효과 없다 - 지디넷코리아",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiVkFVX3lxTE5GdFhjY25YczVxNllLZGRwS0lWRUZ2ZWFmbkdYRTUwTUxzM3VVODh6Z01wRzZwOTltNWVfeEkzZkZFVjN0Wl9pUFJ6aUI1RzZWTi1LTy1R?oc=5
37,2025-09-25 13:58:51,2025-09-23 22:00,다이어트,구글뉴스,헬스조선,"윤은혜, 아침마다 ‘이 음료’ 마신다는데… 다이어트에 좋다고? - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE00dFJrdHpQMjlEbkt3UE5POHVNSDZYOVRILVdrbU16RnNnNm5JQVFuSGVQeUhhOHE5OVRjNjYyZk1vcjI4d2plamhyR0R4SHVzY1JtLTdDT3B4LVBNSjhWd3JkUm1KaEpjR0NlS0VYSXQ1RFFGSVE?oc=5
38,2025-09-25 13:58:51,2025-09-23 03:00,다이어트,구글뉴스,연합뉴스,"""지난달 필라테스·다이어트식품 상담 급증…휴가철 영향"" - 연합뉴스",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1sUGV1ZFhGZHI2aEgtTDRyREVySF84R0dUOVNGb0ZTYlRhWVdVVFpFMURmd1hNUjlyV3h4UDZXaGU2LXo5MEt4QXVhcm5mRDhwMHFidThVdFpKN1nSAWBBVV95cUxNMHJ1SDhhNmFIRGFqSFY5Z2tfVTdhTWljV3R6OUY2MUxubmtUX3R6MkZqRkZLUHJnMWtQbEotLVBGU3NfZGZnVmo1VEE3YUlIWFJWQ01aZ0lZTEg1M1pxMGg?oc=5
39,2025-09-25 13:58:51,2025-09-23 02:04,다이어트,구글뉴스,헬스조선,"“3개월만, 16kg 감량” 정성화, 기절까지… ‘이 다이어트’ 부작용 고백 - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE5BN0xnMXgxSDdOYzYwcnBfMWc4YmpWWTJMamRGWU1kUWpoSTROUW9LaEc2QmhYVWVSTEw3ZXJ5b3ZxOGNBQlhIdXFpUUNTcHZwV0VlYVF6bjF4NkZWajVIcWR5SlFIdUdyVTEzbTRGNk9aSld5LXc?oc=5
40,2025-09-25 13:58:51,2025-09-22 22:30,다이어트,구글뉴스,매일경제,‘하루 한 잔 -8kg’에 전세계가 속았다…다이어트 신화 ‘애사비’ 알고보니 맹탕 - 매일경제,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiVkFVX3lxTFAzZU1zakpGQ1M4QTVORVJYaFB5RVhIRnduRUdPSUdjTFhFd19xLUhMRG82QWpOMTBZQlB3RFdtLW1wZDNEaXdfckdxbkhnQmFadkY0b2V3?oc=5
